donor_smiles,acceptor_smiles,pce,replicate_count,pce_std,pce_min,pce_max
C1=CC2=C3Nc4c5ccccc5c5n4[Cu]n4c(c6ccccc6c4NC4NC(=C6C=CC=CC64)N5)NC(N3)C2C=C1,ClB1n2c3c4ccccc4c2N=c2c4ccccc4c(n21)=NC1=NC(=N3)c2ccccc21,0.105,2,0.0212132034355964,0.09,0.12
C1=CC2=C3Nc4c5ccccc5c5n4[Cu]n4c(c6ccccc6c4NC4NC(=C6C=CC=CC64)N5)NC(N3)C2C=C1,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41,0.8,55,0.3708816459279096,0.16,2.2
C=C(C#N)c1cc(OCCCCCCCC)c(/C(C#N)=C/c2cc3c(-c4cc(CCCCCCCC)c(CCCCCCCC)s4)c4sccc4c(-c4cc(CCCCCCCC)c(CCCCCCCC)s4)c3s2)cc1OCCCCCCCC,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,3.03,1,0.0,3.03,3.03
C=C(C#N)c1cc(OCCCCCCCC)c(/C(C#N)=C/c2cc3c(OCC(CCCCCCCC)CCCCCCCCCC)c4sccc4c(OCC(CCCCCCCC)CCCCCCCCCC)c3s2)cc1OCCCCCCCC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)s1,2.91,1,0.0,2.91,2.91
C=C(C#N)c1cc(OCCCCCCCC)c(/C(C#N)=C/c2cc3c(OCC(CCCCCCCC)CCCCCCCCCC)c4sccc4c(OCC(CCCCCCCC)CCCCCCCCCC)c3s2)cc1OCCCCCCCC,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,1.53,1,0.0,1.53,1.53
C=C(C#N)c1cc(OCCCCCCCC)c(/C(C#N)=C/c2ccc(-c3cc4c(-c5cc(CCCCCCCC)c(CCCCCCCC)s5)c5sc(-c6cccs6)cc5c(-c5cc(CCCCCCCC)c(CCCCCCCC)s5)c4s3)s2)cc1OCCCCCCCC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,8.54,1,0.0,8.54,8.54
C=C(C#N)c1cc(OCCCCCCCC)c(/C(C#N)=C/c2ccc(-c3cc4c(-c5cc(CCCCCCCC)c(CCCCCCCC)s5)c5sc(-c6cccs6)cc5c(-c5cc(CCCCCCCC)c(CCCCCCCC)s5)c4s3)s2)cc1OCCCCCCCC,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,7.76,1,0.0,7.76,7.76
C=C(C#N)c1cc(OCCCCCCCC)c(/C(C#N)=C/c2ccc(-c3cc4c(OCC(CCCCCCCC)CCCCCCCCCC)c5sc(-c6cccs6)cc5c(OCC(CCCCCCCC)CCCCCCCCCC)c4s3)s2)cc1OCCCCCCCC,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,3.59,1,0.0,3.59,3.59
C=C1/C(=N\C2=C(N)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C2=O)C2C=C(c3cc(CC(CC)CCCC)c(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sccc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)SC2c2sc(-c3cc(CC(CC)CCCC)cs3)cc21,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,2.595,14,0.5157731846674254,1.26,3.18
C=CCCCCCCCCCN1C(=O)c2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6sc(-c7sc(-c8cc(CCCCCC)cs8)c8c7C(=O)N(CCCCCCCC)C8=O)cc6CCCCCC)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,C=CCCCCCCCCCN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cc7c8c(c(-c9cccs9)cc9c8c6C(=O)N(CC(CCCCCC)CCCCCCCC)C9=O)C(=O)N(CC(CCCCCC)CCCCCCCC)C7=O)s5)cc(c24)C1=O)C(=O)N(CCCCCCCCCC=C)C3=O,2.22,23,0.9231163921834484,0.39,3.34
C=CCCCCCCCCCN1C(=O)c2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6sc(-c7sc(-c8cc(CCCCCC)cs8)c8c7C(=O)N(CCCCCCCC)C8=O)cc6CCCCCC)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,CCCCCCCCC(CCCCCC)CN1C(=O)c2ccc3c4c(c(-c5cccs5)cc(c24)C1=O)C(=O)N(CC(CCCCCC)CCCCCCCC)C3=O,2.18,11,2.5699426947979704,0.55,8.2
