id,doi,doi_norm,donor,acceptor,donor_canonical,acceptor_canonical,donor_smiles,acceptor_smiles,voc,jsc,ff,pce,pce_recomputed,pce_relative_error_percent,pce_avg,pce_best,d_a_ratio,additive,additive_canonical,additive_ratio,device_structure,device_type,etl,etl_canonical,htl,htl_canonical,active_layer_thickness,solvent,solvent_canonical,annealing_temp,homo_d,lumo_d,eg_d,homo_a,lumo_a,eg_a
1,10.1002/aenm.201703291,10.1002/aenm.201703291,PBFSF,N2200,PBFSF,N2200,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4c(F)cc(-c5cc6c(s5)-c5sc(-c7cc(F)cc8nsnc78)cc5[Si]6(CC(CC)CCCC)CC(CC)CCCC)c5nsnc45)sc3c(-c3ccc(CC(CCCC)CCCCCC)s3)c3ccsc23)s1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc(c24)C1=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O,0.83,11.95,61.0,6.0,6.050284999999999,0.8380833333333134,,,,DIO,DIO,,inverted,inverted,ZnO,ZnO,MoO3,MoO3,,chloroform,chloroform,,-5.27,-3.72,,-5.71,-4.02,
2,10.1002/aenm.201703291,10.1002/aenm.201703291,PBBSB,N2200,PBBSB,N2200,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5cc6c(s5)-c5sc(-c7cccc8nsnc78)cc5[Si]6(CC(CC)CCCC)CC(CC)CCCC)c5nsnc45)sc3c(-c3ccc(CC(CCCC)CCCCCC)s3)c3ccsc23)s1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc(c24)C1=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O,0.73,7.81,52.0,3.0,2.964676,1.177466666666671,,,,DIO,DIO,,inverted,inverted,ZnO,ZnO,MoO3,MoO3,,chloroform,chloroform,,-5.19,-3.63,,-5.71,-4.02,
3,10.1002/aenm.201801209,10.1002/aenm.201801209,PTB7-Th,IOTIC-2F,PTB7-Th,IOTIC-2F,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7ccc(F)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6ccc(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,0.817,21.9,65.0,12.1,11.629995,3.88433884297521,,,1:1.5,DIO,,2 vol%,ITO/ZnO/active layer/MoOx/Ag,inverted,ZnO,ZnO,MoOx,MoO3,,chlorobenzene,chlorobenzene,,-5.21,-3.6,1.58,-5.34,-4.06,1.31
4,10.1002/aenm.201901024,10.1002/aenm.201901024,PTB7-Th,3TT-CIC,PTB7-Th,IXIC-4Cl,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(Cl)c(Cl)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,0.65,26.67,69.0,11.96,11.961495000000005,0.0125000000000169,,,,DIO,DIO,,inverted,inverted,ZnO/PFN-Br,ZnO/PFN-Br,MoOx,MoO3,,,,,-5.21,-3.6,1.58,-5.24,-3.95,1.23
5,10.1002/adma.201706816,10.1002/adma.201706816,PTB7-Th,6TBA,PTB7-Th,6TBA,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(C=C5C(=O)N(CC)C(=S)N(CC)C5=O)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,0.98,15.2,68.0,10.13,10.12928,0.0071076011846116,,,,,,,ITO/PEDOT:PSS/active layer/PFN-Br/Ag,conventional,PFN-Br,PFN-Br,PEDOT:PSS,PEDOT:PSS,,,,,-5.21,-3.6,1.58,-5.24,-3.78,
6,10.1002/aenm.201801209,10.1002/aenm.201801209,PTB7-Th,ITOTIC-2F,PTB7-Th,ITOTIC-2F,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6sc(/C=C7\C(=O)c8ccc(F)cc8C7=C(C#N)C#N)cc6OCC(CC)CCCC)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4sc(/C=C5\C(=O)c6ccc(F)cc6C5=C(C#N)C#N)cc4OCC(CC)CCCC)sc23)cc1,0.785,7.0,61.0,3.7,3.35195,9.40675675675676,,,1:1.5,CN,,2% v/v,ITO/ZnO/active layer/MoOx/Ag,inverted,ZnO,ZnO,MoOx,MoO3,,chlorobenzene,chlorobenzene,,-5.21,-3.6,1.58,-5.22,-4.11,1.32
7,10.1002/aenm.202100839,10.1002/aenm.202100839,PTB7-Th,O-IDTBCN,PTB7-Th,O-IDTBCN,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(C=C(C#N)C#N)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(C=C(C#N)C#N)c4nsnc24)sc1-3,0.74,17.7,70.0,9.1,9.1686,0.7538461538461538,,,1:2,,,,conventional,inverted,,,,,90.0,,,,-5.21,-3.6,1.58,-5.8,-3.8,
8,10.1002/aenm.201901024,10.1002/aenm.201901024,PTB7-Th,3TT-OCIC,PTB7-Th,3 TT-OCIC,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,CCCCCCCCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c3c(sc12)-c1sc2c4c(sc2c1C3(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)-c1sc2c(CCCCCCCC)c(/C=C3\C(=O)c5cc(Cl)c(Cl)cc5C3=C(C#N)C#N)sc2c1C4(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1,0.68,26.49,69.0,12.43,12.429108,0.0071761866452016,,,,DIO,DIO,,inverted,inverted,ZnO/PFN-Br,ZnO/PFN-Br,MoOx,MoO3,,,,,-5.21,-3.6,1.58,-5.22,-3.91,1.29
9,10.1002/adfm.202102361,10.1002/adfm.202102361,PTB7-Th,BTPV-4F-eC9,PTB7-Th,BTPV-4F-eC9,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,CCCCCCCCCc1c(/C=C/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCC)c(/C=C/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,0.661,28.2,68.5,12.77,12.768537000000002,0.0114565387627059,,,1:1.5,,,,conventional,conventional,,,,,95.0,THF,THF,100.0,-5.21,-3.6,1.58,-5.38,-4.06,
10,10.1002/adma.201707508,10.1002/adma.201707508,PTB7-Th,NOBDT,PTB7-Th,NOBDT,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,CCCCCCCCOc1c2sc3c(c2c(OCCCCCCCC)c2sc4c(c12)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c5ccc(F)cc5C2=C(C#N)C#N)sc1-4)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c4ccc(F)cc4C2=C(C#N)C#N)sc1-3,0.77,19.16,70.0,10.26,10.32724,0.6553606237816761,,,1:1.6,DIO,DIO,,conventional,conventional,PDINO,PDINO,PEDOT:PSS,PEDOT:PSS,,chloroform,chlorobenzene,,-5.21,-3.6,1.58,-5.26,-3.89,1.39
