donor_smiles,acceptor_smiles,pce,replicate_count,pce_std,pce_min,pce_max,split
CCCCCCCCC(CCCCCC)COc1cnc2c(C)c(F)c(F)c(-c3ccc(C)s3)c2n1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc2-c2sc(-c3cc(F)c(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc4C5(CC(CC)CCCC)CC(CC)CCCC)cc3F)cc21,3.68,1,0.0,3.68,3.68,train
CCCCCCc1ccc(-c2ccc(CCCCCC)s2)s1,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,4.0,3,0.5437217425607818,3.13,4.13,train
CCCCCCc1cc(C)sc1C,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,2.68,211,1.5153994323708455,0.3,7.8,train
CCCCCCc1ccsc1,CCN1C(=O)/C(=C\c2cnc(-c3cc4c(s3)-c3cc5c(cc3C4(CC)CC)-c3sc(-c4ncc(/C=C6/SC(=S)N(CC)C6=O)s4)cc3C5(CC)CC)s2)SC1=S,3.53,1,0.0,3.53,3.53,train
CCOc1c2cc(-c3ccc(-c4ccc(-c5ccc(-c6cc7c(OCC)c8sc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cc%13c(OCC)c%14sc(-c%15ccc(-c%16ccc(-c%17cccs%17)c%17nsnc%16%17)s%15)cc%14c(OCC)c%13s%12)s%11)c%11nsnc%10%11)s9)cc8c(OCC)c7s6)s5)c5nsnc45)s3)sc2c(OCC)c2ccsc12,CCc1cc(/C=C2\C(=O)N(CC)C(=O)C(C#N)=C2C)sc1-c1cc(CC)c(-c2cc3c(s2)c2sc(-c4sc(-c5sc(/C=C6/C(=O)N(CC)C(=O)[C@H](C#N)[C@H]6C)cc5CC)cc4CC)cc2n3CC)s1,4.89,1,0.0,4.89,4.89,train
C=Cc1cc(OCC(CC)CCCC)c(C=C)cc1OC,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,1.7,8,0.5473708588725356,1.0,2.6,train
CCCCCCc1cc(C)sc1C,CCCCC1(CCCC)c2ccccc2-c2ccc(N3C(=O)c4cccc5c(C#Cc6ccc(-c7ccc(-c8ccc(C#Cc9ccc%10c%11c(cccc9%11)C(=O)N(c9ccc%11c(c9)C(CCCC)(CCCC)c9ccccc9-%11)C%10=O)s8)c8nsnc78)s6)ccc(c45)C3=O)cc21,1.16,1,0.0,1.16,1.16,train
CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nc(-c6ccc(F)cc6)c(-c6ccc(F)cc6)nc45)s3)cc21,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,2.7,1,0.0,2.7,2.7,train
CCCCCCCCc1ccc(N2C(=O)c3csc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sccc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)c3C2=O)cc1,CCCCCCCCC(CCCCCC)CN1C(=O)c2ccc3c4c(c(-c5cccs5)cc(c24)C1=O)C(=O)N(CC(CCCCCC)CCCCCCCC)C3=O,5.68,11,1.0953197955599334,3.71,7.1,train
CCCCCCCCC(CCCCCC)COc1cnc2c(C)c(F)c(F)c(-c3ccc(C)s3)c2n1,COCCOCCOCC(COCCOCCOC)CN1C(=O)c2ccc3c4c(c(-c5cccs5)cc(c24)C1=O)C(=O)N(CC(COCCOCCOC)COCCOCCOC)C3=O,2.25,1,0.0,2.25,2.25,train
CCCCCCCCCCC(CCCCCCCC)Cc1csc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5cccs5)s4)s3)c3nsnc23)c1,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,10.75,2,0.2121320343559647,10.6,10.9,train
c1ccc(-c2c3ccccc3c(-c3ccccc3)c3c(-c4ccccc4)c4ccccc4c(-c4ccccc4)c23)cc1,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,0.28,4,0.1024695076595959,0.11,0.35,train
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sccc5c(OCC(CC)CCCC)c4s3)scc2c1F,CCCCC(CC)CN1C(=O)c2ccc3c4c(c(/C=C/c5cc6c7c(ccc8c7c5C(=O)N(CC(CC)CCCC)C8=O)C(=O)N(CC(CC)CCCC)C6=O)cc(c24)C1=O)C(=O)N(CC(CC)CCCC)C3=O,2.41,1,0.0,2.41,2.41,train
CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccccc4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1cccs1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc(c24)C1=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O,0.45,1,0.0,0.45,0.45,train
CCCCCCc1ccsc1,CCCCC(CC)CN1C(=O)c2cccc3c(-c4ccc5c6c(cccc46)C(=O)N(CC(CC)CCCC)C5=O)ccc(c23)C1=O,0.11,6,0.1768615277554731,0.02,0.47,train
CCCCCCc1ccsc1,CCc1cc(-c2c(F)c3c4nsnc4c(-c4cc(CC)c(-c5ccc6c7c(cccc57)-c5cc7c(cc5-6)C(=O)N(CC)C7=O)s4)c(F)c3c3nsnc23)sc1-c1ccc2c3c(cccc13)-c1cc3c(cc1-2)C(=O)N(CC)C3=O,2.585,2,0.7566042558696061,2.05,3.12,train
CCCCCCCC(CCCC)c1ccc(-c2c3cc(-c4cccc5nsnc45)sc3c(-c3ccc(C(CCCC)CCCCCCC)s3)c3ccsc23)s1,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,6.48,1,0.0,6.48,6.48,train
CCCCCCc1ccc2c(c1)C(=O)c1csc(-c3cc4c(s3)-c3sccc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c1C2=O,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,5.13,3,1.074616210560775,3.31,5.21,train
CCCCCCCCN1C(=O)c2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,CCCCCCCCC(CCCCCC)CN1C(=O)c2ccc3c4c(c(-c5cccs5)cc(c24)C1=O)C(=O)N(CC(CCCCCC)CCCCCCCC)C3=O,7.145,2,0.7141778489984132,6.64,7.65,train
CCCCCCCCOC(=O)c1sc2c(-c3cc4c(CCC(CCCC)CCCCCC)c5sccc5c(CCC(CCCC)CCCCCC)c4s3)scc2c1F,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,0.18,1,0.0,0.18,0.18,train
CCCCCCc1ccsc1,CCCCCCCCC(CCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc(c24)C1=O)C(=O)N(CC(CCCCCC)CCCCCCCC)C3=O,0.48,1,0.0,0.48,0.48,train
CCCCCCCCCCc1c(C)sc(C)c1Br,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,1.17,1,0.0,1.17,1.17,train
CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCc1c(/C=C2\C(=O)c3cc4cc(Br)sc4cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc9cc(Br)sc9cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,15.22,3,0.0,15.22,15.22,train
CCCCCCN(CCCC)C(=O)c1ccsc1-c1cc(C(=O)N(CCCC)CCCC)c(-c2ccc(-c3cccs3)s2)s1,CCCCC(=O)OCC1(c2ccccc2)c2cccc3cccc4cccc5cccc6cccc1c6c-5c-4c-3c2,1.31,1,0.0,1.31,1.31,train
CCCCCCCC[Si]1(CCCCCCCC)c2ccsc2-c2sc(-c3ccc(-c4ccc(-c5cccs5)c5c4C(=O)N(CC(CC)CCCC)C5=O)s3)cc21,CCCCC(=O)OCC1(c2ccccc2)C2=CC=Cc3cccc4cccc5ccc6ccccc7cccc1c7c6c5c-4c3C2,1.92,3,0.4196824196143237,1.3,2.1,train
