epoch,train_loss,validation_loss,validation_mae,validation_rmse,validation_r2,learning_rate,epoch_seconds
1,0.5016508594521809,0.47465069923947273,3.13471367113393,3.799767437906711,0.6229398957903483,0.0004,13.605
2,0.37676911579618844,0.45147462641343594,3.17741408780815,3.7058397750128584,0.6413508330938491,0.0004,12.324
3,0.34049421432633603,0.3806246699160825,2.840052443897967,3.4026590566667747,0.697633675707803,0.0004,12.471
4,0.347159465761792,0.40792314676217567,3.00607127402372,3.5225660488887978,0.6759479003971669,0.0004,12.667
5,0.3353423541668077,0.4595506449959838,3.1980203536113208,3.738838093005709,0.6349352776340323,0.0004,12.945
6,0.3322716539346063,0.4095501095067767,2.9633581872847454,3.529583779297601,0.6746554473915676,0.0004,12.556
7,0.3367384944343423,0.425815714801926,3.0735411944096507,3.5989913943534035,0.6617341415789018,0.0004,12.695
8,0.3263493432672482,0.39169391392088815,2.8376228373006787,3.4517820157041315,0.6888403508769506,0.0004,12.719
9,0.3367720466213175,0.4541351412304653,3.1407332628798805,3.716743017400399,0.6392373086884505,0.0004,12.763
10,0.32681517355818984,0.5428315228082259,3.478396915549397,4.063520969089673,0.568777353971553,0.0004,12.648
11,0.3216370549132971,0.44051312393190456,3.1117652967793195,3.6605757646680686,0.6500585799047839,0.0004,12.618
12,0.30714774806804607,0.33064242072973526,2.582273924341945,3.1713870660156713,0.7373393279918998,0.0004,12.881
13,0.31095107545012124,0.3631604895349543,2.7865306267909222,3.3236804466745156,0.7115071367731687,0.0004,12.957
14,0.32098464266620097,0.3948100866954191,2.8875199928583983,3.4654856011685586,0.6863648371407083,0.0004,12.903
15,0.3054094591494948,0.3976162307629979,2.924895825401518,3.4777793273631623,0.6841356638920628,0.0004,12.777
16,0.3043868908622484,0.3818991810218191,2.8111026201661695,3.4083511635735584,0.6966212081178651,0.0004,12.888
17,0.3073291062143804,0.49797408625938466,3.3016468485527874,3.8920044434760284,0.6044119129101306,0.0004,12.856
18,0.3030775788428791,0.42160666760659604,3.051615533445194,3.5811597174450767,0.6650778032028037,0.0004,12.873
19,0.30103679429802144,0.44199108943213977,3.0619181443961168,3.6667112689406407,0.6488845206475868,0.0004,13.089
20,0.29707103315569355,0.4048961806232148,2.9153259336523454,3.509472346732952,0.6783524859908611,0.0004,12.789
21,0.2930187623755641,0.41594973284592507,2.9737194112370924,3.557053606851114,0.6695715977926442,0.0004,13.288
22,0.28317675506157525,0.4176443360950917,2.9821953689429384,3.564291738583394,0.6682254737541257,0.0002,12.793
23,0.27827128541315943,0.3771641829689628,2.8303059410475666,3.3871560132590828,0.7003826549382322,0.0002,12.938
24,0.280945901560816,0.3663915576875951,2.8050173342148423,3.3384333868346996,0.7089403654434272,0.0002,12.895
25,0.2791393213232589,0.3795171029222627,2.8727840298804836,3.397704885494869,0.6985135076268298,0.0002,12.971
26,0.2772240534341071,0.3684591895177865,2.79529857599121,3.3478397548956362,0.707297875829701,0.0002,13.154
27,0.2753233811124067,0.39400929126072687,2.9185511243542432,3.4619693075624722,0.6870009810718058,0.0002,12.8
28,0.2753446410323362,0.40903370091926816,2.97558581940835,3.5273579030748676,0.6750656648017885,0.0002,13.098
29,0.27745371200582186,0.36402595582387604,2.784276436977745,3.3276385144224547,0.710819613271986,0.0002,12.94
30,0.2751754699874148,0.4326121592932812,3.0696038614299086,3.627599516053187,0.6563350665240878,0.0002,13.332
31,0.2701701169916812,0.37478263633479453,2.8213454552283186,3.376445225910601,0.7022745451998127,0.0001,13.425
32,0.2681572489890297,0.3622336873480656,2.7611251321732344,3.319436863643604,0.7122433458633823,0.0001,13.607
